"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@JohnCarthy_","John Carthy","I want to know how come ice cream vans are now classed as an essential service, the one thing I was enjoying about the #COVID19 lockdown was the absence of the daily drone of a real crap version of 'you are my sunshine' around the streets near me :(","0","0","0","1587385549000","20 Apr 2020","JohnCarthy_/status/1252211872079712256","https://twitter.com/search?lang=en&q=drone&src=typed_query","COVID19"
"@S_P_Ganesh","Satya prem ganesh","@timesofindia Did someone NOT suggest the use of drones for reporting ???","0","0","0","1587385865000","20 Apr 2020","S_P_Ganesh/status/1252213197202837506","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Rebeldog13","Rebeldog","@maha_makhlouf They can't deny not receiving the delivery since he used his phone to pay the drone for the pizza. Plus the drone have a camera.. the answer is you can't.","0","0","0","1587387456000","20 Apr 2020","Rebeldog13/status/1252219868839063556","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@owenpaun","Owen Paun 🇲🇰","“On the issue of privacy, Elizabeth Democrat Mayor Bollwage says, 'If these drones save one life, it is clearly worth the activity and the information that the drones are sending.' Donated by a Chinese company, [they've] gone to 43 agencies in 22 states"" https://t.co/SDmXDDMTsM","0","0","0","1587387619000","20 Apr 2020","owenpaun/status/1252220552393166849","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@drbarbour","drbarbour","From What I read and have seen in many Drone reviews, I like the American Made Autel EVO II as a drone for any high school program. #DronePilotsForNC https://t.co/jCVPu7SE2g","0","0","0","1587387349000","20 Apr 2020","drbarbour/status/1252219419171921921","https://twitter.com/search?lang=en&q=drone&src=typed_query","DronePilotsForNC"
"@bgmstsinc","Brian McClain","Weaponized drones. https://t.co/LafsWib9wx","0","0","0","1587386441000","20 Apr 2020","bgmstsinc/status/1252215611289206791","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@THD_IT","Ivan Diego Meseguer","@cahnory il y a tres longtemps j avais posté celle fameuse d un faucon qui detecte un vil intrus dans son espace, fait mine de rien (le tour) et fonce en piqué sur le drone pour le demonter c etait digne d un tex avery avec le gros plan final sur le faucon super motivé ^^","0","0","0","1587387605000","20 Apr 2020","THD_IT/status/1252220491697467394","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@HarshaHalasur","Harsha","@JaidevJamwal @Frontalfire If proof becomes more important then all army ops cud be compromised, just how how many drones at what height s, enemy knows approx numbers but nvr knows exactly, and deployment areas.","0","0","0","1587386774000","20 Apr 2020","HarshaHalasur/status/1252217007363067904","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@ArchCapitalist","Codeslinger","@MelanieMetz6 @SpazianiMatthew Drones are free target practice.","0","0","0","1587385604000","20 Apr 2020","ArchCapitalist/status/1252212098966437888","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@chidolin__","Chidolín News 🌐","@Maravillasfracc Como el combustible sale bien barato y lo paga la gente, pues salen a dar su rol. Mejor mi compa de Jojuuuutla usa drones para vigilar los aires. ¿Se acuerdan del helicóptero del amor con el Gober Panista aquél? Jeje","0","0","0","1587387400000","20 Apr 2020","chidolin__/status/1252219634981445632","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@CryptoNewsFlas3","Crypto News Flash","IOTA Open Marketplace: Proof of concept for drone delivery system #iota #miota https://t.co/dNy8muf3iR","0","0","0","1587387468000","20 Apr 2020","CryptoNewsFlas3/status/1252219917903986688","https://twitter.com/search?lang=en&q=drone&src=typed_query","iota | miota"
