"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@JapanCons_NY","JapanConsulateNY総領事館","新型コロナウイルス関連情報（４月１９日）の領事メールを掲載しました。こちらをご覧ください。 #Covd_19 https://t.co/0SLJVZI729","0","1","2","1587337510000","19 Apr 2020","JapanCons_NY/status/1252010379770826761","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","Covd_19"
"@MaMoosie","Moosie","My new fave @CBSNews reporter IS Weijia Jiang @weijia 😎 👍 Asking educated, factual necessary #COVD19 questions of @realDonaldTrump 🇺🇸 Much like @PaulaReidCBS @Yamiche @JoeNBC @kaitlancollins @PeterAlexander @Acosta @JakeTapper It's Truth to Power 🇺🇸 https://t.co/FAYyDuaAcX","0","0","0","1587356869000","20 Apr 2020","MaMoosie/status/1252091575951212544","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVD19"
"@ElenaJeffreys","SexWork101","There is no future that looks like ""pre-Covd-19."" FFS.","0","0","1","1587337823000","19 Apr 2020","ElenaJeffreys/status/1252011690863898625","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Markorodgers1","Official52@chidy-Jr","@kigogo2014 Hahaaaa..Sisi tunajenga uchumi bhana kigogo...according to..""COVD19 HAIUI PIGENI KAZI""","0","0","1","1587316414000","19 Apr 2020","Markorodgers1/status/1251921896695910400","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@SecretaryCarson","Ben Carson","Twenty-five years ago, we tragically lost 168 public servants and children – including 35 of our own. Today and always, we honor their memory by telling their story. #WeRemember https://t.co/iQKKexq1KU","25","210","604","1587303994000","19 Apr 2020","SecretaryCarson/status/1251869802135728129","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","WeRemember"
"@A_definitivas","A definitivas - Portal Jurídico","Con ocasión de la pandemia mundial producida por el COVD-19, ha quedado de manifiesto la importancia de que las administraciones tributarias se digitalicen. El presente artículo busca mostrar mediante dos ejemplos por qué lo anterior es relevante ⚖️⤵️ https://t.co/0XMWBBhq9d","1","0","1","1587382245000","20 Apr 2020","A_definitivas/status/1252198012165783552","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Ranchgal74","CH & DH","@TeamTrump @realDonaldTrump THIS IS NOT A STAGE IT IS A PODIUM FOR COVD19 updates. Stop your Campaign crap! What a crook. ALWAYS trying to toot your butt horn! Stopppppp!!! What a waste!","0","0","0","1587337555000","19 Apr 2020","Ranchgal74/status/1252010569487523840","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@SzameerSa","syed ahmed ","@imMAK02 One thing is happening great in India who have bought this COVD19 to India Gov't are taking them full care and responsibility from stay to healthcare and most of the Migrants worker's who don't have a passport also they are Starving for food and they can't even reach there home","0","0","0","1587342822000","20 Apr 2020","SzameerSa/status/1252032659192262656","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@LuciaOrtega74","Lucia Ortega","@InimigoKarl @amandamoraes500 @jairbolsonaro Quando fazem reunião secreta minha ansiedade explode, os petistas estao com medo do covd19 ou vou comprar um trator kkkkkk","2","0","1","1587359538000","20 Apr 2020","LuciaOrtega74/status/1252102771555344387","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@_rainpetal","ᴿᵃⁱⁿ 🌧️","Nasa dagat na naman ang utak ko","1","1","21","1587362430000","20 Apr 2020","_rainpetal/status/1252114901549514753","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@scotinus","scotinus","On February 19th @potus(i) @realdonaldtrump(i) held a rally in Phoenix, AZ. Here is the transcript; three words were not said: Virus, CoronaVirus, or COVD19. NEVER came up! @BretBaier https://t.co/3dC3vAoEil https://t.co/E7OK5QcKJQ","1","0","0","1587351271000","20 Apr 2020","scotinus/status/1252068096577167360","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@CarlosB25887930","Carlos Bonifacio Soto","Falso covd-19 https://t.co/HFuZWBgelv","0","0","0","1587333804000","19 Apr 2020","CarlosB25887930/status/1251994834988158988","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@vanda_trindade","vanda trindade ","@PMarcos07 @DavidIvete Eita, acho que vai falta covd19","0","0","2","1587326870000","19 Apr 2020","vanda_trindade/status/1251965751684141067","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@ToddAPlaster3","Todd A Plaster","Hi Kevin yes many questions to something that could of been prevented I wanted to share I went to 3 different fast food drive threws today and they have no chicken filets they stopped selling because of covd19 virus a tiger in Newyork has covd19 so are we about to lose live stock https://t.co/BLjDnxeFU4","0","2","1","1587356807000","20 Apr 2020","ToddAPlaster3/status/1252091318593085440","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
